unofficial_name,category,fluid,unit,truth,raw_predicted,predicted,match_type,affected_rows,error
SBIC,Хімія,Кров,mEq/L,Бікарбонат [Моль/об’єм] у Сироватці або Плазмі,Білірубін.загальний [Маса/об’єм] у Сироватці або Плазмі,Білірубін.загальний [Маса/об’єм] у Сироватці або Плазмі,exact,615,
RBCS,Гематологія,Кров,m/uL,Еритроцити [#/об’єм] у крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,613,
МСС Авто (Еритроцити) [Середня маса],Гематологія,Кров,pg,МСН [Утворення маси] за допомогою автоматизованого підрахунку.,MCV [Середній об’єм еритроцитів] в еритроцитах за допомогою автоматизованого підрахунку.,MCV [Середній об’єм еритроцитів] в еритроцитах за допомогою автоматизованого підрахунку.,exact,610,
Гемoглoбін,Гематологія,Кров,pg,МСН [Утворення маси] за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,610,
МСНС Еритроцити Авто-ЕнтМКнс,Гематологія,Кров,%,MCHC [Масова/об’ємна концентрація] в еритроцитах за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,609,
Гемoглoбін,Гематологія,Кров,%,MCHC [Масова/об’ємна концентрація] в еритроцитах за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,609,
Hb,Гематологія,Кров,g/dL,Гемоглобін [Маса/об’єм] у крові,Гемоглобін [наявність] у сечі за допомогою тест-смужки.,Гемоглобін [наявність] у сечі за допомогою тест-смужки.,exact,607,
Гемоглобін,Гематологія,Кров,pg,МСН [Утворення маси] за допомогою автоматизованого підрахунку.,Гемоглобін [Маса/об’єм] у крові,Гемоглобін [Маса/об’єм] у крові,exact,605,
Cl-,Хімія,Кров,mEq/L,Хлориди [Моль/об’єм] у Сироватці або Плазмі,Натрій [Моль/об’єм] у Сироватці або Плазмі,Натрій [Моль/об’єм] у Сироватці або Плазмі,exact,604,
МСН РЗК Пн Авто,Гематологія,Кров,pg,МСН [Утворення маси] за допомогою автоматизованого підрахунку.,MCV [Середній об’єм еритроцитів] в еритроцитах за допомогою автоматизованого підрахунку.,MCV [Середній об’єм еритроцитів] в еритроцитах за допомогою автоматизованого підрахунку.,exact,603,
Гемоглобін,Гематологія,Кров,g/dL,Гемоглобін [Маса/об’єм] у крові,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,603,
Гемоглобін,Гематологія,Кров,%,MCHC [Масова/об’ємна концентрація] в еритроцитах за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,601,
Ширина розподілу еритроцитів крові Авто,Гематологія,Кров,%,Еритроцити [DistWidth] у крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,601,
Ag,Хімія,Кров,mEq/L,"Аніонний інтервал у сироватці або плазмі, розрахований за 4 іонами.",Аг,(no_match),no_match,595,
Hb,Гематологія,Кров,pg,МСН [Утворення маси] за допомогою автоматизованого підрахунку.,Гемоглобін [наявність] у крові,(no_match),no_match,593,
Еритроцити,Гематологія,Кров,fL,MCV [Середній об’єм еритроцитів] в еритроцитах за допомогою автоматизованого підрахунку.,Еритроцити [#/об’єм] у крові за допомогою автоматизованого підрахунку.,Еритроцити [#/об’єм] у крові за допомогою автоматизованого підрахунку.,exact,591,
Hb,Гематологія,Кров,%,MCHC [Масова/об’ємна концентрація] в еритроцитах за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,586,
MAG,Хімія,Кров,mg/dL,Магній [Моль/об’єм] у сироватці або плазмі.,(parse_fail),(no_match),parse_fail,584,"HTTP 429: {
    ""error"": {
        ""message"": ""Rate limit reached for gpt-5-nano in organization org-qODUCuXcX5j40qwOmkqY0ZJU on tokens per min (TPM): Limit 200000, Used 197025, Requested 10482. Please try agai"
Еритроцити,Гематологія,Кров,pg,МСН [Утворення маси] за допомогою автоматизованого підрахунку.,Еритроцити [#/об’єм] у крові за допомогою автоматизованого підрахунку.,Еритроцити [#/об’єм] у крові за допомогою автоматизованого підрахунку.,exact,575,
Печінка,Хімія,Кров,IU/L,Лужна фосфатаза [Ензиматична активність/об’єм] у сироватці або плазмі.,Гепатит,(no_match),no_match,540,
i Phos,Хімія,Кров,mg/dL,Фосфат [Маса/об’єм] у Сироватці або Плазмі,Креатинін [Маса/об’єм] у сироватці або плазмі,Креатинін [Маса/об’єм] у сироватці або плазмі.,fuzzy,532,
Пі,Хімія,Кров,mg/dL,Фосфат [Маса/об’єм] у Сироватці або Плазмі,(parse_fail),(no_match),parse_fail,526,"HTTP 429: {
    ""error"": {
        ""message"": ""Rate limit reached for gpt-5-nano in organization org-qODUCuXcX5j40qwOmkqY0ZJU on tokens per min (TPM): Limit 200000, Used 195186, Requested 10482. Please try agai"
Еозинофіли,Гематологія,Кров,%,Еозинофіли [#/об’єм] у крові за допомогою автоматизованого підрахунку.,Еритроцити [#/об’єм] у крові за допомогою автоматизованого підрахунку.,Еритроцити [#/об’єм] у крові за допомогою автоматизованого підрахунку.,exact,486,
аЧТЧ Кров,Гематологія,Кров,sec,аЧТЧ у крові за допомогою коагуляційного аналізу,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,457,
Час протромбіну INR,Гематологія,Кров,,"Застарілий INR у бідній тромбоцитами плазмі, визначений за допомогою коагуляційного аналізу.",Час згортання тромбіну,Час згортання тромбіну,exact,431,
Протромбіновий час INR,Гематологія,Кров,,"Застарілий INR у бідній тромбоцитами плазмі, визначений за допомогою коагуляційного аналізу.",Протромбіновий час (PT),Протромбіновий час (PT),exact,427,
ПТ ІНВ,Гематологія,Кров,,"Застарілий INR у бідній тромбоцитами плазмі, визначений за допомогою коагуляційного аналізу.",Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,426,
INR Коагуляція (P) [Співвідношення часу],Гематологія,Кров,,"Застарілий INR у бідній тромбоцитами плазмі, визначений за допомогою коагуляційного аналізу.",PT,(no_match),no_match,423,
Серф,Гематологія,Кров,sec,аЧТЧ у крові за допомогою коагуляційного аналізу,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,423,
Коагуляція aPTT (Кров) [Час],Гематологія,Кров,sec,аЧТЧ у крові за допомогою коагуляційного аналізу,"Застарілий INR у бідній тромбоцитами плазмі, визначений за допомогою коагуляційного аналізу.","Застарілий INR у бідній тромбоцитами плазмі, визначений за допомогою коагуляційного аналізу.",exact,416,
Похила пробірка,Гематологія,Кров,,"Застарілий INR у бідній тромбоцитами плазмі, визначений за допомогою коагуляційного аналізу.",Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,412,
Лімфа,Гематологія,Кров,%,Лімфоцити [#/об’єм] у крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,412,
Застарілий INR Плазма,Гематологія,Кров,,"Застарілий INR у бідній тромбоцитами плазмі, визначений за допомогою коагуляційного аналізу.",INR,(no_match),no_match,408,
Вуглекислий ангідрид,Гази крові,Кров,mm Hg,Вуглекислий газ [парціальний тиск] у крові.,(parse_fail),(no_match),parse_fail,385,"HTTP 429: {
    ""error"": {
        ""message"": ""Rate limit reached for gpt-5-nano in organization org-qODUCuXcX5j40qwOmkqY0ZJU on tokens per min (TPM): Limit 200000, Used 190612, Requested 10493. Please try agai"
парціальний тиск O2,Гази крові,Кров,mm Hg,Кисень [парціальний тиск] у крові,Залізозв'язуюча здатність [Маса/об’єм] у Сироватці або Плазмі,Залізозв'язуюча здатність [Маса/об'єм] у Сироватці або Плазмі.,fuzzy,374,
tO2,Гази крові,Кров,mm Hg,Кисень [парціальний тиск] у крові,Сатурація киснем крові,Сатурація киснем крові,exact,365,
CO2CT,Гази крові,Кров,mEq/L,"Вуглекислий газ, загальний [Моль/об’єм] у крові за розрахунком.",Сечова кислота [Маса/об’єм] у сироватці або плазмі,Сечова кислота [Маса/об’єм] у сироватці або плазмі.,fuzzy,364,
pO2 Кров,Гази крові,Кров,mm Hg,Кисень [парціальний тиск] у крові,Сатурація киснем крові,Сатурація киснем крові,exact,363,
CO2 ЗАГАЛЬНИЙ,Гази крові,Кров,mEq/L,"Вуглекислий газ, загальний [Моль/об’єм] у крові за розрахунком.",Загальний вуглекислий газ у крові,(no_match),no_match,363,
EXS,Гази крові,Кров,mEq/L,Надлишок основ у крові за розрахунком.,Глюкоза [Маса/об’єм] у крові,Глюкоза [Маса/об’єм] у крові,exact,358,
Еритроцит,Гематологія,Сеча,#/hpf,"Еритроцити [#/volume] в осаді сечі під мікроскопом, велике поле зору.",Еритроцити [#/об’єм] у крові за допомогою автоматизованого підрахунку.,Еритроцити [#/об’єм] у крові за допомогою автоматизованого підрахунку.,exact,357,
CO2 (кров) [Парціальний тиск],Гази крові,Кров,mm Hg,Вуглекислий газ [парціальний тиск] у крові.,"Вуглекислий газ, загальний [Моль/об’єм] у крові за розрахунком.","Вуглекислий газ, загальний [Моль/об’єм] у крові за розрахунком.",exact,356,
O2,Гази крові,Кров,mm Hg,Кисень [парціальний тиск] у крові,Сатурація киснем крові,Сатурація киснем крові,exact,356,
ctCO2,Гази крові,Кров,mEq/L,"Вуглекислий газ, загальний [Моль/об’єм] у крові за розрахунком.",Кисень [парціальний тиск] у крові,Кисень [парціальний тиск] у крові,exact,355,
BSE,Гази крові,Кров,mEq/L,Надлишок основ у крові за розрахунком.,Гематокрит [Об’ємна частка] крові за розрахунком.,Гематокрит [Об’ємна частка] крові за розрахунком.,exact,354,
Основа без,Гази крові,Кров,mEq/L,Надлишок основ у крові за розрахунком.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,353,
Вуглекислий ангідрид,Гази крові,Кров,mEq/L,"Вуглекислий газ, загальний [Моль/об’єм] у крові за розрахунком.",Вуглекислий газ [парціальний тиск] у крові,Вуглекислий газ [парціальний тиск] у крові.,fuzzy,352,
tCO2,Гази крові,Кров,mEq/L,"Вуглекислий газ, загальний [Моль/об’єм] у крові за розрахунком.",Тромбоцити [#/volume] у крові за допомогою автоматизованого підрахунку.,Тромбоцити [#/volume] у крові за допомогою автоматизованого підрахунку.,exact,351,
Надлишок основ Calc (Кров) [Моль/Об’єм],Гази крові,Кров,mEq/L,Надлишок основ у крові за розрахунком.,Натрій [Моль/об’єм] у Сироватці або Плазмі,Натрій [Моль/об’єм] у Сироватці або Плазмі,exact,348,
PO2,Гази крові,Кров,mm Hg,Кисень [парціальний тиск] у крові,Sатурація киснем крові,Сатурація киснем крові,fuzzy,347,
cCO2,Гази крові,Кров,mEq/L,"Вуглекислий газ, загальний [Моль/об’єм] у крові за розрахунком.",Сечова кислота [Маса/об’єм] у сироватці або плазмі,Сечова кислота [Маса/об’єм] у сироватці або плазмі.,fuzzy,345,
Кисень (кров) [Парціальний тиск],Гази крові,Кров,mm Hg,Кисень [парціальний тиск] у крові,(parse_fail),(no_match),parse_fail,339,"HTTP 429: {
    ""error"": {
        ""message"": ""Rate limit reached for gpt-5-nano in organization org-qODUCuXcX5j40qwOmkqY0ZJU on tokens per min (TPM): Limit 200000, Used 195849, Requested 10498. Please try agai"
CO2,Гази крові,Кров,mm Hg,Вуглекислий газ [парціальний тиск] у крові.,Кисень [парціальний тиск] у крові,Кисень [парціальний тиск] у крові,exact,337,
BE,Гази крові,Кров,mEq/L,Надлишок основ у крові за розрахунком.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,337,
Ca,Гази крові,Кров,mmol/L,Кальцій іонізований [Моль/об’єм] у крові.,Кальцій [Моль/об’єм] у Сироватці або Плазмі,Кальцій [Моль/об’єм] у сироватці або плазмі.,fuzzy,333,
CO2 Calc (Кров) [Моль/Об’єм],Гази крові,Кров,mEq/L,"Вуглекислий газ, загальний [Моль/об’єм] у крові за розрахунком.",Клітини CD14 / клітини в крові,Клітини CD14 / клітини в крові,exact,333,
pCO2 Кров,Гази крові,Кров,mm Hg,Вуглекислий газ [парціальний тиск] у крові.,pH крові,pH крові,exact,326,
CO2,Гази крові,Кров,mEq/L,"Вуглекислий газ, загальний [Моль/об’єм] у крові за розрахунком.",Сатурація киснем крові,Сатурація киснем крові,exact,323,
PNM,Гематологія,Кров,%,Нейтрофіли [# / об'єм] в сечі за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,257,
Нейтрофіли,Гематологія,Кров,%,Нейтрофіли [# / об'єм] в сечі за допомогою автоматизованого підрахунку.,Нейтрофіли. Гематологія,(no_match),no_match,241,
Тромбоцити,Гематологія,Кров,,Тромбоцити [#/об’єм] у крові за допомогою ручного підрахунку.,(parse_fail),(no_match),parse_fail,239,"HTTP 429: {
    ""error"": {
        ""message"": ""Rate limit reached for gpt-5-nano in organization org-qODUCuXcX5j40qwOmkqY0ZJU on tokens per min (TPM): Limit 200000, Used 198382, Requested 10492. Please try agai"
Лімфоцит,Гематологія,Кров,%,Лімфоцити [#/об’єм] у крові за допомогою автоматизованого підрахунку.,(parse_fail),(no_match),parse_fail,236,"HTTP 429: {
    ""error"": {
        ""message"": ""Rate limit reached for gpt-5-nano in organization org-qODUCuXcX5j40qwOmkqY0ZJU on tokens per min (TPM): Limit 200000, Used 196828, Requested 10487. Please try agai"
Лімфоцити,Гематологія,Кров,%,Лімфоцити [#/об’єм] у крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,233,
Білі кров'яні клітини,Гематологія,Кров,%,Метамієлоцити/Лейкоцити в крові,Лейкоцити [#/об’єм] у крові за допомогою ручного підрахунку.,Лейкоцити [#/об’єм] у крові за допомогою ручного підрахунку.,exact,228,
Лейкоцити,Гематологія,Кров,%,Метамієлоцити/Лейкоцити в крові,Лейкоцити [#/об’єм] у крові за допомогою ручного підрахунку.,Лейкоцити [#/об’єм] у крові за допомогою ручного підрахунку.,exact,226,
Нейтр,Гематологія,Кров,%,Нейтрофіли [# / об'єм] в сечі за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,225,
Печінка,Хімія,Кров,mg/dL,Білірубін.загальний [Маса/об’єм] у Сироватці або Плазмі,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,219,
PMN,Гематологія,Кров,%,Нейтрофіли [# / об'єм] в сечі за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,214,
Опорно-руховий,Хімія,Кров,IU/L,Лужна фосфатаза [Ензиматична активність/об’єм] у сироватці або плазмі.,Крові/плазми аналізи з вмістом IU/L,(no_match),no_match,195,
Глутамат-піруваттрансфераза,Хімія,Кров,IU/L,Аланінамінотрансфераза [Ензиматична активність/об’єм] у сироватці або плазмі.,Глутаматд transфераза [Ензиматична активність/об’єм] у Сироватці або Плазмі.,Лужна фосфатаза [Ензиматична активність/об’єм] у сироватці або плазмі.,fuzzy,194,
AST,Хімія,Кров,IU/L,Аспартат-амінотрансфераза [Ензиматична активність/об’єм] у сироватці або плазмі.,Аланінамінотрансфераза [Ензиматична активність/об’єм] у сироватці або плазмі.,Аланінамінотрансфераза [Ензиматична активність/об’єм] у сироватці або плазмі.,exact,192,
Кальцій іонізований (Кров) [Моль/Об’єм],Гази крові,Кров,mmol/L,Кальцій іонізований [Моль/об’єм] у крові.,Кальцій [Моль/об’єм] у Сироватці або Плазмі,Кальцій [Моль/об’єм] у сироватці або плазмі.,fuzzy,187,
Глутамат-оксалоацетат трансаміназа,Хімія,Кров,IU/L,Аспартат-амінотрансфераза [Ензиматична активність/об’єм] у сироватці або плазмі.,Аланінамінотрансфераза [Ензиматична активність/об’єм] у сироватці або плазмі.,Аланінамінотрансфераза [Ензиматична активність/об’єм] у сироватці або плазмі.,exact,185,
Молочна кислота,Гази крові,Кров,mmol/L,Лактат [Моль/об’єм] у крові,Лактатдегідрогеназа [Ензиматична активність/об’єм] у сироватці або плазмі.,Лактатдегідрогеназа [Ензиматична активність/об’єм] у сироватці або плазмі.,exact,185,
AP,Хімія,Кров,IU/L,Лужна фосфатаза [Ензиматична активність/об’єм] у сироватці або плазмі.,Кокаїн [Виявлено] в сечі.,Кокаїн [Виявлено] в сечі.,exact,184,
MSK,Хімія,Кров,IU/L,Лужна фосфатаза [Ензиматична активність/об’єм] у сироватці або плазмі.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,183,
2-гідроксипропіонова кислота,Гази крові,Кров,mmol/L,Лактат [Моль/об’єм] у крові,Глюкоза [Маса/об’єм] у сироватці або плазмі,Глюкоза [Маса/об’єм] у сироватці або плазмі.,fuzzy,183,
АСТ [Каталітична активність/Об’єм],Хімія,Кров,IU/L,Аспартат-амінотрансфераза [Ензиматична активність/об’єм] у сироватці або плазмі.,АСТ [Каталітична активність/Об’єм],(no_match),no_match,182,
Асп,Хімія,Кров,IU/L,Аспартат-амінотрансфераза [Ензиматична активність/об’єм] у сироватці або плазмі.,Амінолаза,(no_match),no_match,182,
ALKP,Хімія,Кров,IU/L,Лужна фосфатаза [Ензиматична активність/об’єм] у сироватці або плазмі.,Аланінамінотрансфераза [Ензиматична активність/об’єм] у сироватці або плазмі.,Аланінамінотрансфераза [Ензиматична активність/об’єм] у сироватці або плазмі.,exact,180,
Ортопедія,Хімія,Кров,IU/L,Лужна фосфатаза [Ензиматична активність/об’єм] у сироватці або плазмі.,Кров Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,fuzzy,180,
Кетонові тіла,Гематологія,Сеча,mg/dL,Кетони [Маса/об’єм] в сечі за допомогою тест-смужки.,Кітонові тіла,(no_match),no_match,177,
Алк,Хімія,Кров,IU/L,Лужна фосфатаза [Ензиматична активність/об’єм] у сироватці або плазмі.,Амілаза [Ензиматична активність/об’єм] у сироватці або плазмі.,Амілаза [Ензиматична активність/об’єм] у сироватці або плазмі.,exact,176,
Аспартат амінотрансфераза,Хімія,Кров,IU/L,Аспартат-амінотрансфераза [Ензиматична активність/об’єм] у сироватці або плазмі.,Аланінамінотрансфераза [Ензиматична активність/об’єм] у сироватці або плазмі.,Аланінамінотрансфераза [Ензиматична активність/об’єм] у сироватці або плазмі.,exact,175,
SGOT,Хімія,Кров,IU/L,Аспартат-амінотрансфераза [Ензиматична активність/об’єм] у сироватці або плазмі.,Аланінамінотрансфераза [Ензиматична активність/об’єм] у сироватці або плазмі.,Аланінамінотрансфераза [Ензиматична активність/об’єм] у сироватці або плазмі.,exact,175,
Без кальцію,Гази крові,Кров,mmol/L,Кальцій іонізований [Моль/об’єм] у крові.,Кальцій [Моль/об’єм] у Сироватці або Плазмі,Кальцій [Моль/об’єм] у сироватці або плазмі.,fuzzy,174,
Номінальний,Гематологія,Сеча,,Колір сечі,Кокаїн [Виявлено] в сечі.,Кокаїн [Виявлено] в сечі.,exact,174,
Еозинофіл,Гематологія,Кров,%,Еозинофіли [#/об’єм] у крові за допомогою автоматизованого підрахунку.,(parse_fail),(no_match),parse_fail,173,"HTTP 429: {
    ""error"": {
        ""message"": ""Rate limit reached for gpt-5-nano in organization org-qODUCuXcX5j40qwOmkqY0ZJU on tokens per min (TPM): Limit 200000, Used 200000, Requested 10488. Please try agai"
ЛФ [Каталітична активність/Об’єм],Хімія,Кров,IU/L,Лужна фосфатаза [Ензиматична активність/об’єм] у сироватці або плазмі.,ЛФ,(no_match),no_match,172,
